2025-10-09 00:54:54 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.90
2025-10-09 00:54:55 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.93
2025-10-09 00:54:56 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.82
2025-10-09 00:54:57 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.93
2025-10-09 00:54:57 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.69
2025-10-09 00:54:58 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.95
2025-10-09 00:55:15 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.78
2025-10-09 00:55:16 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 00:55:16 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:17 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.94
2025-10-09 00:55:19 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 1.00
2025-10-09 00:55:19 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:20 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 1.00
2025-10-09 00:55:21 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.77
2025-10-09 00:55:21 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.99
2025-10-09 00:55:38 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 00:55:39 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 00:55:39 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:40 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.94
2025-10-09 00:55:41 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.99
2025-10-09 00:55:42 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.88
2025-10-09 00:55:43 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 00:55:43 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.76
2025-10-09 00:55:44 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.98
2025-10-09 00:56:01 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 00:56:02 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 00:56:02 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 00:56:03 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.93
2025-10-09 00:56:04 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.98
2025-10-09 00:56:05 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.87
2025-10-09 00:56:06 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 00:56:06 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.76
2025-10-09 00:56:07 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.98
2025-10-09 00:56:24 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.77
2025-10-09 00:56:24 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.72
2025-10-09 00:56:25 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.86
2025-10-09 00:56:26 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.93
2025-10-09 00:56:27 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.98
2025-10-09 00:56:28 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.87
2025-10-09 00:56:28 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 00:56:29 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.75
2025-10-09 00:56:30 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.98
2025-10-09 00:56:46 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.76
2025-10-09 00:56:47 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.71
2025-10-09 00:56:48 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:56:48 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.91
2025-10-09 00:56:50 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.97
2025-10-09 00:56:51 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.87
2025-10-09 00:56:52 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.99
2025-10-09 00:56:52 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.75
2025-10-09 00:56:53 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.98
2025-10-09 00:57:10 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.76
2025-10-09 00:57:10 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.71
2025-10-09 00:57:11 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:57:12 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.90
2025-10-09 00:57:13 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.96
2025-10-09 00:57:14 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.86
2025-10-09 00:57:15 - BinanceFuturesBot - INFO - ASTERUSDT excluido por alto riesgo: 0.98
2025-10-09 00:57:15 - BinanceFuturesBot - INFO - XRPUSDT excluido por alto riesgo: 0.74
2025-10-09 00:57:16 - BinanceFuturesBot - INFO - 4USDT excluido por alto riesgo: 0.97
2025-10-09 00:57:33 - BinanceFuturesBot - INFO - ETHUSDT excluido por alto riesgo: 0.76
2025-10-09 00:57:33 - BinanceFuturesBot - INFO - BTCUSDT excluido por alto riesgo: 0.71
2025-10-09 00:57:34 - BinanceFuturesBot - INFO - SOLUSDT excluido por alto riesgo: 0.85
2025-10-09 00:57:35 - BinanceFuturesBot - INFO - BNBUSDT excluido por alto riesgo: 0.89
2025-10-09 00:57:36 - BinanceFuturesBot - INFO - COAIUSDT excluido por alto riesgo: 0.96
2025-10-09 00:57:37 - BinanceFuturesBot - INFO - DOGEUSDT excluido por alto riesgo: 0.86
